Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Mangal, Utkarsh; ",Influence of platelet rich plasma on orthodontic tooth movement: a review,Biomedical and Pharmacology Journal,10,3,1463-1468,2017,
"Mangal, Utkarsh; Lohia, Ankita; ",Role of an orthodontist in the management of cleft maxilla with anterior maxillary segmental distraction (AMD)-A clinical overview,Biomedical and Pharmacology Journal,12,4,1899-1906,2019,
"Ashith, MV; Shetty, BK; Shekatkar, Yash; Mangal, Utkarsh; Mithun, K; ",Assessment of immediate loading with mini-implant anchorage in critical anchorage cases between stainless steel versus titanium miniscrew implants: a controlled clinical trial,Biomedical and Pharmacology Journal,11,2,971-977,2018,
"Ashith, MV; Khader, Mustafa; Mangal, Utkarsh; ",Enhancement of Facial Aesthetics and Function in Posteriorly Edentulous Mouth: An Orthognathic Surgical Case Report,Indian Journal of Public Health Research & Development,10,7,305-311,2019,
"Ashith, MV; Khader, Mustafa; Mangal, Utkarsh; Mithun, K; ",Enhancement of Facial Aesthetics and Function in Posteriorly Edentulous Mouth: An Orthognathic Surgical Case Report,Indian Journal of Public Health Research & Development,10,7,305-311,2019,Prof.(Dr) RK Sharma
"Mangal, Utkarsh; Seo, Ji-Young; Yu, Jaehun; Kwon, Jae-Sung; Choi, Sung-Hwan; ",Incorporating aminated nanodiamonds to improve the mechanical properties of 3D-printed resin-based biomedical appliances,Nanomaterials,10,5,827,2020,MDPI
"Mangal, Utkarsh; Min, You Jin; Seo, Ji-Young; Kim, Dae-Eun; Cha, Jung-Yul; Lee, Kee-Joon; Kwon, Jae-Sung; Choi, Sung-Hwan; ",Changes in tribological and antibacterial properties of poly (methyl methacrylate)-based 3D-printed intra-oral appliances by incorporating nanodiamonds,Journal of the Mechanical Behavior of Biomedical Materials,110,,103992,2020,Elsevier
"Lee, Youngjoo; Park, Jae Hyun; Chang, Na-Young; Lee, Mi-Young; Kim, Bong Chul; Seo, Hye Young; Mangal, Utkarsh; Chae, Jong-Moon; ",Assessment of bone density changes following two-jaw surgery using multidetector computed tomography: A pilot study,Korean Journal of Orthodontics,50,3,157-169,2020,Korean Association of Orthodontists
"Mangal, Utkarsh; Kim, Ji-Yeong; Seo, Ji-Young; Kwon, Jae-Sung; Choi, Sung-Hwan; ",Novel poly (methyl methacrylate) containing nanodiamond to improve the mechanical properties and fungal resistance,Materials,12,20,3438,2019,MDPI
"Lee, Myung-Jin; Mangal, Utkarsh; Kim, Se-Jin; Yoon, Yeo-Phil; Ahn, Eun-So; Jang, Ee-Seul; Kwon, Jae-Sung; Choi, Sung-Hwan; ",Improvement in the microbial resistance of resin-based dental sealant by sulfobetaine methacrylate incorporation,Polymers,12,8,1716,2020,MDPI
"Lee, Myung-Jin; Kim, Ji-Yeong; Seo, Ji-Young; Mangal, Utkarsh; Cha, Jung-Yul; Kwon, Jae-Sung; Choi, Sung-Hwan; ",Resin-based sealant with bioactive glass and zwitterionic material for remineralisation and multi-species biofilm inhibition,Nanomaterials,10,8,1581,2020,MDPI
"Kim, Gi-Tae; Jin, Jie; Mangal, Utkarsh; Lee, Kee-Joon; Kim, Kwang-Mahn; Choi, Sung-Hwan; Kwon, Jae-Sung; ",Primary stability of orthodontic titanium miniscrews due to cortical bone density and re-insertion,Materials,13,19,4433,2020,MDPI
"Chae, Jong-Moon; Park, Jae Hyun; Kim, Seon-Hye; Mangal, Utkarsh; Seo, Hye Young; ",Prognostic Indicators for Anterior Mandibular Repositioning in Adolescents with Class II Malocclusion: A Cross-Sectional Cephalometric Study,Journal of Clinical Pediatric Dentistry,44,4,274-282,2020,Clinical Pediatric Dentistry
